key,details.Food and drink.category,details.Food and drink.names,details.Food and drink.reopen_dates,details.Houses of worship.category,details.Houses of worship.names,details.Houses of worship.reopen_dates,details.Industries.category,details.Industries.names,details.Industries.reopen_dates,details.Personal care.category,details.Personal care.names,details.Personal care.reopen_dates,details.Retail.category,details.Retail.names,details.Retail.reopen_dates,details.Outdoor and recreation.category,details.Outdoor and recreation.names,details.Outdoor and recreation.reopen_dates,details.Entertainment.category,details.Entertainment.reopen_dates,details.Entertainment.names,state_postal,stay_at_home.expires,stay_at_home.expires_display,stay_at_home.expires_today,stay_at_home.expiring_soon,stay_at_home.had_order,stay_at_home.has_expired,stay_at_home.name,stay_at_home.starts,stay_at_home.starts_display,reopen_dates_all.0
Alabama,Food and drink,"[""Restaurant dining, bars and breweries""]","[""5/11/2020""]",,,,,,,Personal care,"[""Salons""]","[""5/11/2020""]",Retail,"[""Retail stores""]","[""4/30/2020""]",Outdoor and recreation,"[""Beaches"",""Gyms""]","[""4/30/2020"",""5/11/2020""]",Entertainment,"[""5/22/2020""]","[""Entertainment venues""]",AL,4/30/2020,April 30,false,false,true,true,Stay-at-home order,4/4/2020,April 4,4/30/2020
Alaska,Food and drink,"[""Restaurant dining"",""Bars""]","[""4/24/2020"",""5/8/2020""]",,,,,,,Personal care,"[""Hair salons, barbershops, nail salons etc.""]","[""4/24/2020""]",Retail,"[""Retail stores""]","[""4/24/2020""]",Outdoor and recreation,"[""Gyms"",""Pools""]","[""4/24/2020"",""5/8/2020""]",Entertainment,"[""5/8/2020"",""5/8/2020"",""5/8/2020"",""5/8/2020""]","[""Libraries"",""Theaters"",""Bowling alleys"",""Museums""]",AK,4/24/2020,April 24,false,false,true,true,Stay-at-home order,3/28/2020,March 28,4/24/2020
Arizona,Food and drink,"[""Restaurant dining""]","[""5/11/2020""]",,,,,,,Personal care,"[""Barbershops, salons, etc.""]","[""5/8/2020""]",Retail,"[""Retail stores""]","[""5/8/2020""]",Outdoor and recreation,"[""Pools, gyms, spas""]","[""5/13/2020""]",Entertainment,"[""5/15/2020""]","[""Casinos""]",AZ,5/15/2020,May 15,false,false,true,true,Stay-at-home order,3/31/2020,March 31,5/8/2020
Arkansas,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/11/2020"",""5/26/2020""]",,,,,,,Personal care,"[""Hair salons, barbershops, nail salons etc.""]","[""5/6/2020""]",,,,Outdoor and recreation,"[""Campgrounds"",""Gyms"",""Pools""]","[""5/1/2020"",""5/4/2020"",""5/22/2020""]",Entertainment,"[""5/18/2020"",""5/18/2020"",""6/15/2020""]","[""Theaters, stadiums, museums, bowling alleys"",""Casinos"",""Large venues""]",AR,,,,,,,,,,5/6/2020
California,Food and drink,"[""Restaurant dining in some counties"",""Bars in some counties""]","[""5/12/2020"",""6/12/2020""]",Houses of worship,[],"[""5/25/2020""]",Industries,"[""Manufacturing"",""Warehouses"",""Offices"",""Movie, TV and music production""]","[""5/8/2020"",""5/8/2020"",""5/12/2020"",""6/12/2020""]",Personal care,"[""Pet groomers"",""Hair salons and barbershops in some counties""]","[""5/12/2020"",""5/26/2020""]",Retail,"[""Retail""]","[""5/25/2020""]",Outdoor and recreation,"[""Gyms in some counties""]","[""6/12/2020""]",Entertainment,"[""6/12/2020"",""6/12/2020"",""6/12/2020""]","[""Casinos in some counties"",""Museums, galleries, zoos, aquariums in some counties"",""Bowling alleys, arcades, mini golf""]",CA,,,false,false,true,false,Stay-at-home order,3/19/2020,March 19,5/25/2020
Colorado,Food and drink,"[""Restaurants dining""]","[""5/27/2020""]",,,,Industries,"[""Offices"",""Manufacturing""]","[""5/4/2020"",""5/4/2020""]",Personal care,"[""Salons and personal services""]","[""5/1/2020""]",Retail,"[""Retail stores""]","[""5/1/2020""]",Outdoor and recreation,"[""Campgrounds"",""Pools, playgrounds"",""Gyms""]","[""5/12/2020"",""6/4/2020"",""6/4/2020""]",,,,CO,4/26/2020,April 26,false,false,true,true,Stay-at-home order,3/26/2020,March 26,4/27/2020
Connecticut,Food and drink,"[""Restaurants dining""]","[""6/17/2020""]",,,,Industries,"[""Offices""]","[""5/20/2020""]",Personal care,"[""Hair salons, barbershops"",""Nail salons"",""Tattoo parlors, spas""]","[""6/1/2020"",""6/17/2020"",""6/17/2020""]",Retail,"[""Retail stores, malls""]","[""5/20/2020""]",Outdoor and recreation,"[""Beaches"",""Gyms""]","[""5/22/2020"",""6/17/2020""]",Entertainment,"[""5/20/2020"",""5/30/2020"",""6/17/2020"",""6/17/2020"",""6/17/2020""]","[""Museums, zoos"",""Casinos"",""Movie theaters"",""Libraries"",""Amusement parks, bowling alleys""]",CT,5/20/2020,May 20,false,false,true,true,Stay-at-home order,3/23/2020,March 23,5/20/2020
Delaware,Food and drink,"[""Farmers markets"",""Restaurants, bars and breweries""]","[""5/15/2020"",""6/1/2020""]",,,,,,,Personal care,"[""Barber shops, hair salons, tanning salons"",""Nail salons, tattoo parlors, massage therapy""]","[""6/1/2020"",""6/8/2020""]",Retail,"[""Retail stores"",""Malls""]","[""6/1/2020"",""6/1/2020""]",Outdoor and recreation,"[""Beaches"",""Pools"",""Gyms""]","[""5/22/2020"",""5/22/2020"",""6/1/2020""]",Entertainment,"[""6/1/2020"",""6/1/2020""]","[""Museums, libraries, galleries, live performances"",""Casinos""]",DE,5/31/2020,May 31,false,false,true,true,Shelter in place,3/24/2020,March 24,6/1/2020
District of Columbia,Food and drink,"[""Restaurants open for outdoor dining""]","[""5/29/2020""]",,,,,,,Personal care,"[""Barbershops, hair salons""]","[""5/29/2020""]",Retail,"[""Retail stores open to curbside pickup""]","[""5/29/2020""]",Outdoor and recreation,"[""Dog parks, golf courses, tennis courts, parks""]","[""5/29/2020""]",Entertainment,"[""5/29/2020""]","[""Libraries open to curbside pickup""]",DC,5/29/2020,May 29,false,false,true,true,Stay-at-home order,4/1/2020,April 1,5/29/2020
Florida,Food and drink,"[""Restaurant dining"",""Bars in most counties""]","[""5/4/2020"",""6/5/2020""]",Houses of worship,[],"[""5/4/2020""]",,,,Personal care,"[""Tattoo parlors, massage therapy, tanning salons, acupuncture in most counties""]","[""6/5/2020""]",Retail,"[""Retail stores""]","[""5/4/2020""]",Outdoor and recreation,"[""Beaches, trails"",""Gyms""]","[""5/4/2020"",""5/18/2020""]",Entertainment,"[""5/4/2020"",""6/5/2020""]","[""Sporting venues without spectators"",""Movie theaters, concert halls, bowling alleys in most counties""]",FL,5/4/2020,May 4,false,false,true,true,Stay-at-home order,4/3/2020,April 3,5/4/2020
Georgia,Food and drink,"[""Restaurant dining""]","[""4/27/2020""]",,,,,,,Personal care,"[""Hair salons, barbershops, etc.""]","[""4/24/2020""]",,,,Outdoor and recreation,"[""Gyms""]","[""4/24/2020""]",Entertainment,"[""4/24/2020"",""4/27/2020"",""6/1/2020""]","[""Bowling alleys"",""Theaters, private social clubs"",""Bars, nightclubs""]",GA,4/30/2020,April 30,false,false,true,true,Shelter in place,4/3/2020,April 3,4/24/2020
Hawaii,Food and drink,"[""Restaurant dining in some areas""]","[""6/1/2020""]",Houses of worship,[],"[""5/23/2020"",""5/30/2020""]",Industries,"[""Construction in some areas"",""Offices in some areas""]","[""5/22/2020"",""6/5/2020""]",Personal care,"[""Pet groomers"",""Nail salons in some areas"",""Tattoo parlors in some areas"",""Salons and barbershops""]","[""5/7/2020"",""5/29/2020"",""5/29/2020"",""6/1/2020""]",Retail,"[""Retail stores""]","[""5/7/2020""]",Outdoor and recreation,"[""Beaches, piers, docks, etc."",""State parks"",""Pools and waterparks in some areas"",""Campgrounds in some areas"",""Gyms in some areas""]","[""4/25/2020"",""5/2/2020"",""5/28/2020"",""5/28/2020"",""6/1/2020""]",,,,HI,5/31/2020,May 31,false,false,true,true,Stay-at-home order,3/25/2020,March 25,5/7/2020
Idaho,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/16/2020"",""5/30/2020""]",Houses of worship,[],"[""5/1/2020""]",,,,Personal care,"[""Hair salons""]","[""5/16/2020""]",,,,Outdoor and recreation,"[""Gyms"",""Pools and waterparks""]","[""5/16/2020"",""5/30/2020""]",Entertainment,"[""5/30/2020"",""6/13/2020"",""6/13/2020""]","[""Movie theaters"",""Nightclubs"",""Large venues""]",ID,4/30/2020,April 30,false,false,true,true,Stay-at-home order,3/25/2020,March 25,5/1/2020
Illinois,Food and drink,"[""Restaurants open for outdoor dining""]","[""5/29/2020""]",,,,Industries,"[""Manufacturing"",""Offices""]","[""5/29/2020"",""5/29/2020""]",Personal care,"[""Pet grooming"",""Hair salons, barber shops, nail salons, spas, waxing centers, tattoo parlors""]","[""5/1/2020"",""5/29/2020""]",Retail,"[""Retail stores""]","[""5/29/2020""]",Outdoor and recreation,"[""State parks; limited fishing, boating, golf courses"",""Gyms""]","[""5/1/2020"",""5/29/2020""]",,,,IL,5/29/2020,May 29,false,false,true,true,Stay-at-home order,3/21/2020,March 21,5/29/2020
Indiana,Food and drink,"[""Restaurant dining"",""Bars and nightclubs""]","[""5/11/2020"",""6/12/2020""]",Houses of worship,[],"[""5/8/2020""]",Industries,"[""Manufacturing, offices""]","[""5/4/2020""]",Personal care,"[""Spas, salons, barbershops, tattoo parlors""]","[""5/11/2020""]",Retail,"[""Retail stores""]","[""5/18/2020""]",Outdoor and recreation,"[""Gyms"",""Pools, tennis and basketball courts"",""Campgrounds"",""Amusement parks, water parks""]","[""6/1/2020"",""6/1/2020"",""6/1/2020"",""6/12/2020""]",Entertainment,"[""5/4/2020"",""6/12/2020"",""6/12/2020"",""6/12/2020""]","[""Libraries"",""Museums, zoos and aquariums"",""Large venues"",""Movie theaters, bowling alleys""]",IN,5/4/2020,May 4,false,false,true,true,Stay-at-home order,3/24/2020,March 24,5/4/2020
Iowa,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/15/2020"",""5/28/2020""]",Houses of worship,[],"[""5/1/2020""]",,,,Personal care,"[""Medical spas, tanning salons"",""Salons, barbershops, tattoo parlors, etc.""]","[""5/8/2020"",""5/15/2020""]",Retail,"[""Retail stores, malls""]","[""5/15/2020""]",Outdoor and recreation,"[""Campgrounds"",""Gyms"",""Pools"",""Playgrounds, skating rinks, skate parks""]","[""5/8/2020"",""5/15/2020"",""5/22/2020"",""6/1/2020""]",Entertainment,"[""5/1/2020"",""5/22/2020"",""5/22/2020"",""6/1/2020"",""6/1/2020"",""6/1/2020""]","[""Libraries"",""Movie theaters"",""Museums, zoos, aquariums"",""Casinos"",""Outdoor venues"",""Bowling alleys, amusement parks""]",IA,,,,,,,,,,5/1/2020
Kansas,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/4/2020"",""6/8/2020""]",Houses of worship,[],"[""5/4/2020""]",Industries,"[""Offices""]","[""5/4/2020""]",Personal care,"[""Salons, barbershops, tattoo parlors""]","[""5/18/2020""]",Retail,"[""Retail stores""]","[""5/4/2020""]",Outdoor and recreation,"[""Gyms"",""Community centers, sports facilities"",""Pools""]","[""5/18/2020"",""5/22/2020"",""6/8/2020""]",Entertainment,"[""5/22/2020"",""6/8/2020""]","[""Theaters, museums and bowling alleys"",""Nightclubs""]",KS,5/3/2020,May 3,false,false,true,true,Stay-at-home order,3/30/2020,March 30,5/4/2020
Kentucky,Food and drink,"[""Restaurant dining"",""Distilleries""]","[""5/22/2020"",""6/8/2020""]",Houses of worship,[],"[""5/9/2020""]",Industries,"[""Manufacturing, construction, offices""]","[""5/11/2020""]",Personal care,"[""Pet grooming and boarding"",""Salons, barbershops, tattoo parlors, etc.""]","[""5/11/2020"",""5/25/2020""]",Retail,"[""Retail stores""]","[""5/20/2020""]",Outdoor and recreation,"[""Gyms"",""Aquatic centers"",""Campgrounds""]","[""6/1/2020"",""6/1/2020"",""6/11/2020""]",Entertainment,"[""6/1/2020"",""6/1/2020"",""6/8/2020""]","[""Movie theaters"",""Bowling alleys"",""Museums, aquariums, libraries, outdoor attractions""]",KY,,,false,false,true,false,Healthy at home,3/26/2020,March 26,5/20/2020
Louisiana,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/15/2020"",""6/5/2020""]",Houses of worship,[],"[""5/15/2020""]",,,,Personal care,"[""Salons and barbershops"",""Spas, tattoo parlors""]","[""5/15/2020"",""6/5/2020""]",Retail,"[""Malls""]","[""5/15/2020""]",Outdoor and recreation,"[""Gyms"",""State parks"",""Pools"",""Bowling alleys, skating rinks""]","[""5/15/2020"",""5/15/2020"",""6/5/2020"",""6/5/2020""]",Entertainment,"[""5/15/2020"",""5/15/2020"",""5/18/2020"",""6/5/2020""]","[""Movie theaters"",""Certain museums, zoos and aquariums"",""Casinos"",""Event centers""]",LA,5/15/2020,May 15,false,false,true,true,Stay-at-home order,3/23/2020,March 23,5/15/2020
Maine,Food and drink,"[""Restaurants"",""Bars open for outdoor service""]","[""6/1/2020"",""6/17/2020""]",Houses of worship,[],"[""6/1/2020""]",,,,Personal care,"[""Hair salons, barbershops, pet groomers"",""Nail salons and tattoo parlors""]","[""5/1/2020"",""6/17/2020""]",Retail,"[""Retail stores""]","[""6/1/2020""]",Outdoor and recreation,"[""State parks, boating, golf courses"",""Remote campgrounds, hunting and fishing"",""Private campgrounds, RV parks"",""Gyms""]","[""5/1/2020"",""5/18/2020"",""5/22/2020"",""6/17/2020""]",,,,ME,5/31/2020,May 31,false,false,true,true,Stay-at-home order,4/2/2020,April 2,5/1/2020
Maryland,Food and drink,"[""Outdoor service at breweries, wineries, and distilleries"",""Restaurants""]","[""5/29/2020"",""6/12/2020""]",Houses of worship,[],"[""5/15/2020""]",Industries,"[""Manufacturing"",""Construction, offices""]","[""5/15/2020"",""6/5/2020""]",Personal care,"[""Hair salons, barbershops"",""Nail salons, massage parlors, tanning salons, tattoo parlors""]","[""5/15/2020"",""6/5/2020""]",Retail,"[""Retail stores""]","[""5/15/2020""]",Outdoor and recreation,"[""Golf courses, outdoor shooting ranges, marinas, campgrounds"",""Beaches"",""Outdoor pools and day camps"",""Outdoor amusements""]","[""5/7/2020"",""5/7/2020"",""5/29/2020"",""6/12/2020""]",,,,MD,5/15/2020,May 15,false,false,true,true,Stay-at-home order,3/30/2020,March 30,5/15/2020
Massachusetts,Food and drink,"[""Outdoor dining at restaurants""]","[""6/8/2020""]",Houses of worship,[],"[""5/18/2020""]",Industries,"[""Construction, manufacturing"",""Offices"",""Hotels, lodging""]","[""5/18/2020"",""5/25/2020"",""6/8/2020""]",Personal care,"[""Hair salons, barbershops"",""Pet grooming""]","[""5/25/2020"",""5/25/2020""]",Retail,"[""Retail for curbside pickup"",""Retail""]","[""5/25/2020"",""6/8/2020""]",Outdoor and recreation,"[""Golf courses"",""Beaches, parks, fishing, hunting and boating""]","[""5/7/2020"",""5/25/2020""]",,,,MA,5/18/2020,May 18,false,false,true,true,Stay-at-home advisory,3/24/2020,March 24,5/18/2020
Michigan,Food and drink,"[""Restaurant dining"",""Bars""]","[""6/8/2020"",""6/8/2020""]",,,,Industries,"[""Construction, real estate"",""Manufacturing, including auto companies"",""Offices""]","[""5/7/2020"",""5/11/2020"",""6/1/2020""]",Personal care,"[""Pet groomers"",""Hair salons, barbershops, nail salons, tattoo parlors""]","[""6/4/2020"",""6/15/2020""]",Retail,"[""Retail""]","[""6/4/2020""]",Outdoor and recreation,"[""Golf courses, marinas"",""Pools"",""Gyms in some regions""]","[""4/24/2020"",""6/8/2020"",""6/10/2020""]",Entertainment,"[""6/10/2020""]","[""Arcades, bowling alleys, theaters, night clubs and convention centers in some regions""]",MI,6/1/2020,June 1,false,false,true,true,Stay-at-home order,3/24/2020,March 24,6/1/2020
