key,details.Food and drink.category,details.Food and drink.names,details.Food and drink.reopen_dates,details.Houses of worship.category,details.Houses of worship.names,details.Houses of worship.reopen_dates,details.Industries.category,details.Industries.names,details.Industries.reopen_dates,details.Personal care.category,details.Personal care.names,details.Personal care.reopen_dates,details.Retail.category,details.Retail.names,details.Retail.reopen_dates,details.Outdoor and recreation.category,details.Outdoor and recreation.names,details.Outdoor and recreation.reopen_dates,details.Entertainment.category,details.Entertainment.reopen_dates,details.Entertainment.names,details_closed.Food and drink.category,details_closed.Food and drink.names,details_closed.Food and drink.reopen_dates,details_closed.Houses of worship.category,details_closed.Houses of worship.names,details_closed.Houses of worship.reopen_dates,details_closed.Industries.category,details_closed.Industries.names,details_closed.Industries.reopen_dates,details_closed.Personal care.category,details_closed.Personal care.names,details_closed.Personal care.reopen_dates,details_closed.Retail.category,details_closed.Retail.names,details_closed.Retail.reopen_dates,details_closed.Outdoor and recreation.category,details_closed.Outdoor and recreation.names,details_closed.Outdoor and recreation.reopen_dates,details_closed.Entertainment.category,details_closed.Entertainment.reopen_dates,details_closed.Entertainment.names,state_postal,stay_at_home.expires,stay_at_home.expires_display,stay_at_home.expires_today,stay_at_home.expiring_soon,stay_at_home.had_order,stay_at_home.has_expired,stay_at_home.name,stay_at_home.starts,stay_at_home.starts_display,reopen_dates_all.0
Michigan,Food and drink,"[""Bars for indoor service in certain counties"",""Restaurant dining"",""Bars for outdoor service""]","[""5/22/2020"",""6/8/2020"",""6/8/2020""]",Houses of worship,[],"[""n/a""]",Industries,"[""Construction, real estate"",""Manufacturing, including auto companies"",""Offices""]","[""5/7/2020"",""5/11/2020"",""6/1/2020""]",Personal care,"[""Pet groomers"",""Hair salons, barbershops, nail salons, tattoo parlors""]","[""6/4/2020"",""6/15/2020""]",Retail,"[""Retail stores""]","[""6/4/2020""]",Outdoor and recreation,"[""Golf courses, marinas"",""Pools"",""Gyms in some regions""]","[""4/24/2020"",""6/8/2020"",""6/10/2020""]",Entertainment,"[""6/10/2020"",""8/5/2020""]","[""Arcades, bowling alleys, theaters, night clubs and convention centers in some regions"",""Casinos""]",Food and drink,"[""Bars for indoor service""]","[""7/31/2020""]",,,,,,,,,,,,,Outdoor and recreation,"[""Gyms""]","[""3/16/2020""]",,,,MI,6/1/2020,June 1,false,false,true,true,Stay-at-home order,3/24/2020,March 24,6/1/2020
Minnesota,Food and drink,"[""Restaurants and bars""]","[""6/10/2020""]",Houses of worship,[],"[""5/26/2020""]",Industries,"[""Manufacturing"",""Offices""]","[""4/26/2020"",""4/26/2020""]",Personal care,"[""Salons, barbershops, tattoo parlors""]","[""5/31/2020""]",Retail,"[""Retail stores"",""Malls""]","[""5/17/2020"",""5/17/2020""]",Outdoor and recreation,"[""Campgrounds"",""Gyms""]","[""5/31/2020"",""6/10/2020""]",Entertainment,"[""6/10/2020"",""6/10/2020""]","[""Theaters and concert halls"",""Bowling alleys, arcades and museums""]",,,,,,,,,,,,,,,,,,,,,,MN,5/17/2020,May 17,false,false,true,true,Stay-at-home order,3/27/2020,March 27,5/18/2020
Mississippi,Food and drink,"[""Restaurant dining, bars""]","[""5/7/2020""]",Houses of worship,[],"[""n/a""]",,,,Personal care,"[""Salons and barbershops"",""Tattoo parlors""]","[""5/11/2020"",""5/15/2020""]",Retail,"[""Retail stores""]","[""4/27/2020""]",Outdoor and recreation,"[""State parks"",""Gyms""]","[""5/7/2020"",""5/11/2020""]",Entertainment,"[""5/21/2020"",""6/1/2020"",""6/1/2020""]","[""Casinos"",""Movie theaters"",""Libraries, museums""]",,,,,,,,,,,,,,,,,,,,,,MS,4/27/2020,April 27,false,false,true,true,Shelter in place,4/3/2020,April 3,4/27/2020
Missouri,Food and drink,"[""Restaurant dining""]","[""5/4/2020""]",Houses of worship,[],"[""n/a""]",,,,Personal care,"[""Salons, barbershops, tattoo parlors, etc.""]","[""5/4/2020""]",Retail,"[""Retail stores""]","[""5/4/2020""]",Outdoor and recreation,"[""Gyms"",""Campgrounds""]","[""5/4/2020"",""5/18/2020""]",Entertainment,"[""5/4/2020"",""6/1/2020""]","[""Movie theaters, music venues, etc."",""Casinos""]",,,,,,,,,,,,,,,,,,,,,,MO,5/3/2020,May 3,false,false,true,true,Stay-at-home order,4/6/2020,April 6,5/4/2020
Montana,Food and drink,"[""Restaurant dining, bars, breweries and distilleries""]","[""5/4/2020""]",Houses of worship,[],"[""4/26/2020""]",,,,Personal care,"[""Salons, barbershops, massage parlors""]","[""4/27/2020""]",Retail,"[""Retail stores""]","[""4/27/2020""]",Outdoor and recreation,"[""Gyms""]","[""5/15/2020""]",Entertainment,"[""5/15/2020"",""6/1/2020"",""6/1/2020"",""6/1/2020""]","[""Museums, movie theaters"",""Concert venues"",""Bowling alleys"",""Casinos""]",,,,,,,,,,,,,,,,,,,,,,MT,4/26/2020,April 26,false,false,true,true,Stay-at-home order,3/28/2020,March 28,4/26/2020
Nebraska,Food and drink,"[""Restaurant dining"",""Bars""]","[""6/1/2020"",""6/22/2020""]",Houses of worship,[],"[""5/4/2020""]",,,,Personal care,"[""Salons, barbershops, tattoo parlors, etc.""]","[""6/1/2020""]",Retail,"[""Retail""]","[""n/a""]",Outdoor and recreation,"[""Pools"",""Gyms""]","[""6/22/2020"",""6/22/2020""]",Entertainment,"[""6/22/2020""]","[""Zoos, movie theaters, libraries and venues""]",,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,5/4/2020
Nevada,Food and drink,"[""Restaurants"",""Bars in some counties""]","[""5/9/2020"",""5/29/2020""]",Houses of worship,[],"[""5/29/2020""]",,,,Personal care,"[""Barbershops, hair salons and nail salons"",""Massage therapy"",""Tattoo and piercing shops""]","[""5/9/2020"",""5/29/2020"",""5/29/2020""]",Retail,"[""Retail stores"",""Malls""]","[""5/9/2020"",""5/29/2020""]",Outdoor and recreation,"[""Golf courses, pickleball, tennis courts"",""State parks"",""Gyms"",""Pools and water parks""]","[""5/1/2020"",""5/9/2020"",""5/29/2020"",""5/29/2020""]",Entertainment,"[""5/29/2020"",""5/29/2020"",""6/4/2020""]","[""Museums, art galleries, zoos and aquariums"",""Movie theaters, bowling alleys"",""Gaming""]",,,,,,,,,,,,,,,,,,,,,,NV,5/9/2020,May 9,false,false,true,true,Stay-at-home order,4/1/2020,April 1,5/9/2020
New Hampshire,Food and drink,"[""Restaurant dining""]","[""6/15/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Barbershops, hair salons, etc."",""Nail salons"",""Tanning salons"",""Tattoo shops"",""Acupuncturists and massage therapists""]","[""5/11/2020"",""6/1/2020"",""6/1/2020"",""6/1/2020"",""6/1/2020""]",Retail,"[""Retail stores""]","[""5/11/2020""]",Outdoor and recreation,"[""Golf courses"",""Outdoor attractions"",""Beaches"",""Gyms"",""Pools""]","[""5/11/2020"",""5/18/2020"",""6/1/2020"",""6/15/2020"",""6/15/2020""]",Entertainment,"[""6/15/2020"",""6/15/2020"",""6/29/2020"",""6/29/2020"",""6/29/2020""]","[""Libraries, museums, art galleries"",""Bowling alleys and entertainment centers"",""Movie theaters"",""Amusement parks"",""Live performances""]",,,,,,,,,,,,,,,,,,,,,,NH,6/15/2020,June 15,false,false,true,true,Stay-at-home order,3/27/2020,March 27,5/11/2020
New Jersey,Food and drink,"[""Outdoor dining at restaurants""]","[""6/15/2020""]",Houses of worship,[],"[""6/9/2020""]",Industries,"[""Construction""]","[""5/18/2020""]",Personal care,"[""Hair salons, barbershops"",""Nail salons, tattoo parlors, spas, massage therapy, tanning salons""]","[""6/22/2020"",""6/22/2020""]",Retail,"[""Retail stores"",""Malls""]","[""6/15/2020"",""6/29/2020""]",Outdoor and recreation,"[""Golf courses"",""Beaches"",""Campgrounds"",""Gyms for personal training"",""Pools""]","[""5/2/2020"",""5/22/2020"",""5/22/2020"",""7/2/2020"",""6/22/2020""]",Entertainment,"[""6/15/2020"",""7/2/2020"",""7/2/2020"",""7/2/2020"",""7/2/2020""]","[""Libraries for curbside pickup"",""Casinos"",""Playgrounds, water parks, amusement parks"",""Museums, libraries, aquariums"",""Bowling alleys, batting cages, shooting ranges""]",Food and drink,"[""Breweries, wineries and distilleries""]","[""3/16/2020""]",,,,,,,,,,,,,,,,Entertainment,"[""3/16/2020""]","[""Movie theaters""]",NJ,6/9/2020,June 9,false,false,true,true,Stay-at-home order,3/21/2020,March 21,6/9/2020
New Mexico,,,,Houses of worship,[],"[""5/16/2020""]",Industries,"[""Offices""]","[""5/16/2020""]",Personal care,"[""Pet grooming and boarding, veterinary services"",""Hair salons, barbershops, tattoo parlors, massage parlors, nail salons""]","[""5/1/2020"",""6/1/2020""]",Retail,"[""Retail stores"",""Malls""]","[""5/16/2020"",""6/1/2020""]",Outdoor and recreation,"[""State parks"",""Golf courses, boating"",""Gyms, pools""]","[""5/1/2020"",""5/1/2020"",""6/1/2020""]",,,,Food and drink,"[""Bars"",""Restaurant dining"",""Indoor service at breweries""]","[""3/19/2020"",""7/13/2020"",""7/13/2020""]",,,,,,,,,,,,,,,,Entertainment,"[""3/16/2020"",""3/19/2020""]","[""Casinos"",""Theaters""]",NM,5/31/2020,May 31,false,false,true,true,Stay-at-home order,3/24/2020,March 24,5/16/2020
New York,Food and drink,"[""Outdoor dining at restaurants in some regions"",""Indoor dining in some regions""]","[""6/4/2020"",""6/12/2020""]",Houses of worship,[],"[""5/21/2020""]",Industries,"[""Construction, manufacturing"",""Offices"",""Film and TV production""]","[""6/8/2020"",""6/22/2020"",""7/20/2020""]",Personal care,"[""Hair salons, barbershops"",""Tattoo parlors, massage parlors, nail salons""]","[""6/22/2020"",""7/6/2020""]",Retail,"[""Retail stores"",""Malls in some regions""]","[""6/22/2020"",""7/10/2020""]",Outdoor and recreation,"[""Beaches"",""Fishing and hunting"",""Public pools and playgrounds"",""Outdoor zoos, botanical gardens and nature parks""]","[""5/22/2020"",""6/8/2020"",""6/11/2020"",""7/20/2020""]",Entertainment,"[""6/26/2020""]","[""Museums and aquariums in some regions""]",,,,,,,,,,,,,,,,Outdoor and recreation,"[""Gyms""]","[""3/16/2020""]",Entertainment,"[""3/16/2020"",""3/19/2020""]","[""Movie theaters, casinos"",""Amusement parks, bowling alleys""]",NY,5/28/2020,May 28,false,false,true,true,Stay-at-home order,3/22/2020,March 22,5/29/2020
North Carolina,Food and drink,"[""Restaurant dining""]","[""5/22/2020""]",Houses of worship,[],"[""5/16/2020""]",,,,Personal care,"[""Salons, barbershops, tattoo parlors""]","[""5/22/2020""]",Retail,"[""Retail stores""]","[""5/8/2020""]",Outdoor and recreation,"[""Pools""]","[""5/22/2020""]",,,,Food and drink,"[""Bars""]","[""3/17/2020""]",,,,,,,,,,,,,Outdoor and recreation,"[""Gyms""]","[""3/25/2020""]",Entertainment,"[""3/25/2020"",""3/25/2020""]","[""Movie theaters"",""Bowling alleys""]",NC,5/22/2020,May 22,false,false,true,true,Stay-at-home order,3/30/2020,March 30,5/8/2020
North Dakota,Food and drink,"[""Restaurant dining, bars""]","[""5/1/2020""]",Houses of worship,[],"[""n/a""]",,,,Personal care,"[""Salons, tattoo parlors, massage therapy, etc.""]","[""5/1/2020""]",Retail,"[""Retail""]","[""n/a""]",Outdoor and recreation,"[""Gyms"",""Sports venues""]","[""5/1/2020"",""5/15/2020""]",Entertainment,"[""5/1/2020"",""5/15/2020""]","[""Movie theaters"",""Music and entertainment venues""]",,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,,5/1/2020
Ohio,Food and drink,"[""Restaurant dining and bars""]","[""5/21/2020""]",Houses of worship,[],"[""""]",Industries,"[""Manufacturing, distribution, construction"",""Offices""]","[""5/4/2020"",""5/4/2020""]",Personal care,"[""Salons, barbershops, etc.""]","[""5/15/2020""]",Retail,"[""Retail stores""]","[""5/12/2020""]",Outdoor and recreation,"[""Campgrounds"",""Gyms, pools, and sports leagues"",""Bowling alleys, miniature golf and batting cages"",""Aquariums, zoos"",""Skating rinks, playgrounds, country clubs""]","[""5/21/2020"",""5/26/2020"",""6/1/2020"",""6/10/2020"",""6/10/2020""]",Entertainment,"[""6/10/2020"",""6/19/2020""]","[""Movie theaters, museums, art galleries"",""Casinos, racinos, amusement parks, water parks""]",,,,,,,,,,,,,,,,,,,,,,OH,5/29/2020,May 29,false,false,true,true,Stay-at-home order,3/23/2020,March 23,5/12/2020
Oklahoma,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/1/2020"",""5/15/2020""]",Houses of worship,[],"[""5/1/2020""]",Industries,"[""Offices""]","[""5/1/2020""]",Personal care,"[""Salons, barbershops, spas, pet groomers, etc."",""Tattoo parlors""]","[""4/24/2020"",""5/1/2020""]",Retail,"[""Retail stores""]","[""4/24/2020""]",Outdoor and recreation,"[""State parks"",""Zoos"",""Gyms""]","[""4/24/2020"",""4/24/2020"",""5/1/2020""]",Entertainment,"[""5/1/2020"",""5/15/2020""]","[""Movie theaters, sports venues, museums"",""Nightclubs""]",,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,4/24/2020
Oregon,Food and drink,"[""Restaurants and bars""]","[""6/19/2020""]",Houses of worship,[],"[""6/19/2020""]",Industries,"[""Offices in most counties""]","[""6/8/2020""]",Personal care,"[""Salons, barbershops""]","[""6/19/2020""]",Retail,"[""Retail stores""]","[""5/15/2020""]",Outdoor and recreation,"[""Some state parks"",""Pools in most counties"",""Gyms""]","[""5/5/2020"",""6/8/2020"",""6/19/2020""]",Entertainment,"[""6/8/2020""]","[""Movie theaters, bowling alleys in most counties""]",,,,,,,,,,,,,,,,,,,,,,OR,,,false,false,true,false,Stay-at-home order,3/23/2020,March 23,5/15/2020
Pennsylvania,Food and drink,"[""Restaurants and bars""]","[""7/3/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Hair salons, barbershops, spas""]","[""7/3/2020""]",Retail,"[""Retail stores"",""Shopping malls""]","[""6/5/2020"",""7/3/2020""]",Outdoor and recreation,"[""Golf courses, marinas, private campgrounds"",""Beaches"",""State parks"",""Public pools"",""Gyms""]","[""5/1/2020"",""6/6/2020"",""6/12/2020"",""6/13/2020"",""7/3/2020""]",Entertainment,"[""7/3/2020""]","[""Casinos, theaters""]",,,,,,,,,,,,,,,,,,,,,,PA,6/4/2020,June 4,false,false,true,true,Stay-at-home order,4/1/2020,April 1,5/15/2020
Puerto Rico,Food and drink,"[""Restaurants""]","[""5/26/2020""]",Houses of worship,[],"[""6/16/2020""]",,,,Personal care,"[""Salons, barbershops"",""Pet grooming""]","[""5/26/2020"",""5/26/2020""]",Retail,"[""Retail stores"",""Malls""]","[""5/26/2020"",""6/8/2020""]",Outdoor and recreation,"[""Beaches""]","[""6/16/2020""]",Entertainment,"[""6/16/2020"",""6/16/2020""]","[""Museums"",""Outdoor concerts and other open venues""]",Food and drink,"[""Bars""]","[""7/17/2020""]",,,,,,,,,,,,,Outdoor and recreation,"[""Gyms""]","[""7/17/2020""]",Entertainment,"[""7/17/2020"",""7/17/2020""]","[""Movie theaters"",""Casinos""]",PR,8/15/2020,Aug. 15,false,true,true,false,Curfew,3/15/2020,March 15,5/26/2020
Rhode Island,Food and drink,"[""Restaurant dining""]","[""6/1/2020""]",Houses of worship,[],"[""""]",Industries,"[""Offices"",""Malls""]","[""5/9/2020"",""6/1/2020""]",Personal care,"[""Hair salons, barbershops"",""Nail salons, massage parlors, tattoo shops""]","[""5/9/2020"",""6/1/2020""]",Retail,"[""Retail stores""]","[""5/9/2020""]",Outdoor and recreation,"[""State parks"",""Beaches"",""Gyms"",""Casinos"",""Campgrounds""]","[""5/9/2020"",""6/1/2020"",""6/1/2020"",""6/8/2020"",""6/30/2020""]",,,,,,,,,,,,,,,,,,,,,,,,,RI,5/8/2020,May 8,false,false,true,true,Stay-at-home order,3/28/2020,March 28,5/9/2020
South Carolina,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/11/2020"",""5/11/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Salons, barbershops, tattoo parlors, etc.""]","[""5/18/2020""]",Retail,"[""Retail stores""]","[""4/20/2020""]",Outdoor and recreation,"[""Beaches, piers, docks, etc."",""Gyms"",""Pools"",""Amusement parks, water parks""]","[""4/21/2020"",""5/18/2020"",""5/18/2020"",""5/26/2020""]",Entertainment,"[""5/26/2020"",""8/3/2020"",""8/3/2020""]","[""Museums, zoos, aquariums"",""Movie theaters, stadiums, festival parades, racetracks"",""Nightclubs""]",,,,,,,,,,,,,,,,,,,,,,SC,5/4/2020,May 4,false,false,true,true,Stay-at-home order,4/7/2020,April 7,4/20/2020
South Dakota,Food and drink,"[""Restaurant dining""]","[""""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Salons, barbershops""]","[""""]",Retail,"[""Retail stores""]","[""""]",Outdoor and recreation,"[""Gyms""]","[""""]",,,,,,,,,,,,,,,,,,,,,,,,,SD,,,,,,,,,,
Tennessee,Food and drink,"[""Restaurant dining""]","[""6/22/2020""]",Houses of worship,[],"[""6/22/2020""]",,,,Personal care,"[""Salons, barbershops, etc.""]","[""6/22/2020""]",Retail,"[""Retail stores""]","[""6/22/2020""]",Outdoor and recreation,"[""State parks"",""Gyms""]","[""4/24/2020"",""6/22/2020""]",Entertainment,"[""5/22/2020""]","[""Theaters, museums, amusement parks""]",,,,,,,,,,,,,,,,,,,,,,TN,4/30/2020,April 30,false,false,true,true,Stay-at-home order,3/31/2020,March 31,4/27/2020
Texas,Food and drink,"[""Restaurant dining""]","[""5/1/2020""]",Houses of worship,[],"[""""]",Industries,"[""Offices, manufacturing""]","[""5/18/2020""]",Personal care,"[""Salons, barbershops, etc."",""Massage services""]","[""5/8/2020"",""5/18/2020""]",Retail,"[""Retail stores, malls""]","[""5/1/2020""]",Outdoor and recreation,"[""State parks"",""Pools"",""Gyms"",""Water parks"",""Zoos""]","[""4/20/2020"",""5/8/2020"",""5/18/2020"",""5/29/2020"",""5/29/2020""]",Entertainment,"[""5/1/2020"",""5/22/2020"",""5/22/2020"",""6/19/2020"",""6/19/2020""]","[""Movie theaters, museums, libraries"",""Bowling alleys, bingo halls, skating rinks, rodeos"",""Aquariums"",""Amusement parks"",""Carnivals""]",Food and drink,"[""Bars""]","[""6/26/20""]",,,,,,,,,,,,,,,,,,,TX,4/30/2020,April 30,false,false,true,true,Stay-at-home order,4/2/2020,April 2,5/1/2020
Utah,Food and drink,"[""Restaurant dining""]","[""5/1/2020""]",Houses of worship,[],"["""",""5/1/2020""]",,,,Personal care,"[""Salons, personal care businesses""]","[""""]",Retail,"[""Retail stores""]","[""""]",Outdoor and recreation,"[""Gyms"",""Pools""]","[""5/1/2020"",""5/27/2020""]",Entertainment,"[""""]","[""Movie theatres, museums, libraries, concerts""]",,,,,,,,,,,,,,,,,,,,,,UT,,,,,,,,,,5/1/2020
Vermont,Food and drink,"[""Restaurant dining"",""Bars""]","[""6/8/2020"",""6/8/2020""]",Houses of worship,[],"[""""]",Industries,"[""Manufacturing, construction, distribution""]","[""4/27/2020""]",Personal care,"[""Hair salons and barbershops"",""Nail salons, spas, tattoo parlors""]","[""5/29/2020"",""6/1/2020""]",Retail,"[""Retail stores""]","[""5/18/2020""]",Outdoor and recreation,"[""State parks, golf courses, trails, etc."",""Campgrounds"",""Gyms, fitness centers""]","[""5/7/2020"",""5/22/2020"",""6/1/2020""]",Entertainment,"[""6/1/2020""]","[""Museums, theaters, libraries""]",,,,,,,,,,,,,,,,,,,,,,VT,5/15/2020,May 15,false,false,true,true,Stay-at-home order,3/25/2020,March 25,5/15/2020
Virginia,Food and drink,"[""Restaurants and bars""]","[""6/12/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Salons, barbershops, etc.""]","[""5/28/2020""]",Retail,"[""Retail stores""]","[""5/28/2020""]",Outdoor and recreation,"[""Campgrounds"",""Beaches"",""Gyms"",""Pools""]","[""5/28/2020"",""5/29/2020"",""6/12/2020"",""6/12/2020""]",Entertainment,"[""6/12/2020""]","[""Museums, zoos, aquariums, outdoor concerts""]",,,,,,,,,,,,,,,,,,,,,,VA,6/10/2020,June 10,false,false,true,true,Stay-at-home order,3/30/2020,March 30,5/15/2020
Washington,Food and drink,"[""Restaurant dining in most counties""]","[""6/1/2020""]",Houses of worship,[],"[""7/3/2020""]",Industries,"[""Construction""]","[""5/15/2020""]",Personal care,"[""Gyms in most counties"",""Hair salons, barbershops, tattoo parlors, etc."",""Pet grooming""]","[""6/1/2020"",""7/3/2020"",""7/3/2020""]",Retail,"[""Retail stores""]","[""7/3/2020""]",Outdoor and recreation,"[""State parks, fishing, hunting, golf courses""]","[""5/5/2020""]",Entertainment,"[""6/11/2020""]","[""Casinos""]",,,,,,,,,,,,,,,,,,,,,,WA,5/31/2020,May 31,false,false,true,true,Stay-at-home order,3/25/2020,March 25,5/26/2020
West Virginia,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/21/2020"",""5/26/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Salons, barbershops, pet groomers"",""Tanning salons"",""Massage parlors and spas""]","[""5/4/2020"",""5/21/2020"",""5/30/2020""]",Retail,"[""Retail stores"",""Malls""]","[""5/21/2020"",""5/21/2020""]",Outdoor and recreation,"[""Gyms, recreation centers"",""State parks, campgrounds"",""Pools""]","[""5/18/2020"",""5/21/2020"",""5/30/2020""]",Entertainment,"[""5/26/2020"",""5/30/2020"",""6/5/2020"",""6/5/2020"",""7/3/2020""]","[""Museums, zoos"",""Bowling alleys, pool halls, roller rinks"",""Casinos"",""Movie theaters"",""Amusement parks, fairs, festivals""]",,,,,,,,,,,,,,,,,,,,,,WV,5/3/2020,May 3,false,false,true,true,Stay-at-home order,3/24/2020,March 24,5/4/2020
Wisconsin,Food and drink,"[""Restaurants and bars""]","[""5/14/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Pet groomers for curbside dropoff"",""Hair salons, spas, barbershops""]","[""4/29/2020"",""5/14/2020""]",Retail,"[""Retail stores""]","[""5/11/2020""]",Outdoor and recreation,"[""Golf courses"",""State parks"",""Gyms""]","[""4/24/2020"",""5/1/2020"",""5/14/2020""]",,,,,,,,,,,,,,,,,,,,,,,,,WI,5/13/2020,May 13,false,false,true,true,Stay-at-home order,3/25/2020,March 25,5/13/2020
Wyoming,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/15/2020"",""5/15/2020""]",Houses of worship,[],"[""3/21/2020""]",,,,Personal care,"[""Hair salons, barbershops, tattoo parlors, massage therapy, etc.""]","[""5/1/2020""]",Retail,"[""Retail stores""]","[""3/19/2020""]",Outdoor and recreation,"[""Gyms"",""State parks""]","[""5/1/2020"",""5/18/2020""]",Entertainment,"[""5/15/2020""]","[""Movie theaters, entertaiment venues""]",,,,,,,,,,,,,,,,,,,,,,WY,,,,,,,,,,5/1/2020
